선수,날짜,연도,팀,보직,pbp_source_games,pbp_pitcher_ids,pbp_pitch_count,pbp_tracked_pitches,pbp_avg_velocity,pbp_hard_velocity,pbp_hard_usage,pbp_csw_rate,pbp_zone_rate,pbp_first_pitch_strike_rate,pbp_late_velocity_delta,pbp_high_pressure_share,pbp_entry_inning,pbp_entry_outs,pbp_entry_runners,pbp_entry_run_margin,pbp_entry_base_out_re,pbp_close_late_entry,pbp_hard_release_count,pbp_hard_release_side_ft,pbp_hard_release_height_ft,pbp_hard_release_dispersion_in,pbp_batters_faced,pbp_re24_allowed,pbp_re24_allowed_per_bf,pbp_pitch_count_difference
원상현,2024-08-10,2024,KT,RP,1,1,34,34,137.0,145.235294,0.5,0.411765,0.382353,0.625,-0.6,1.0,8,0,0,-2,0.559513,True,17,-1.53892,5.32347,1.493717,8,-1.119025,-0.139878,0
원상현,2024-08-13,2024,KT,RP,1,1,56,56,138.392857,145.0,0.589286,0.232143,0.589286,0.466667,-1.454545,0.0,5,1,2,-6,1.580533,False,33,-1.31848,5.37182,1.551719,15,-1.754721,-0.116981,0
원상현,2024-08-16,2024,KT,RP,1,1,69,69,138.594203,145.894737,0.550725,0.391304,0.478261,0.5,-1.333333,0.0,3,0,1,-3,0.988857,False,38,-1.433855,5.40231,1.959856,20,-2.226908,-0.111345,0
원상현,2024-08-23,2024,KT,RP,1,1,36,36,139.083333,146.65,0.555556,0.25,0.444444,0.5,-1.166667,1.0,7,1,0,2,0.287503,True,20,-1.206475,5.51396,2.245547,8,1.936534,0.242067,0
원상현,2024-08-28,2024,KT,RP,1,1,63,63,136.142857,144.758621,0.460317,0.301587,0.444444,0.6,-2.0,0.0,3,0,0,1,0.559513,False,29,-1.35033,5.41719,1.963856,15,-0.670421,-0.044695,0
원상현,2024-09-05,2024,KT,RP,1,1,23,23,139.913043,144.733333,0.652174,0.304348,0.391304,0.4,-1.2,0.0,6,0,0,9,0.559513,False,15,-1.18394,5.55675,2.553623,5,-0.559513,-0.111903,0
원상현,2024-09-07,2024,KT,RP,1,1,27,27,136.333333,145.0,0.481481,0.296296,0.461538,0.777778,-2.75,0.0,4,0,0,-4,0.559513,False,13,-1.37382,5.44435,1.446439,9,3.440487,0.382276,0
원상현,2024-09-16,2024,KT,RP,1,1,7,7,139.571429,144.8,0.714286,0.0,0.285714,0.0,,0.0,9,2,1,-5,0.384347,False,5,-1.56751,5.59196,1.298084,2,0.615653,0.307827,0
원태인,2023-04-04,2023,삼성,SP,1,1,104,104,134.432692,143.465116,0.413462,0.326923,0.480769,0.521739,2.357143,0.0,1,0,0,0,0.559513,False,43,-1.38477,5.54171,2.409142,23,0.202437,0.008802,0
원태인,2023-04-11,2023,삼성,SP,1,1,83,83,134.409639,143.324324,0.445783,0.240964,0.409639,0.666667,-1.916667,0.0,1,0,0,0,0.559513,False,37,-1.25637,5.67545,1.823185,24,1.202437,0.050102,0
원태인,2023-04-16,2023,삼성,SP,1,1,106,106,134.009434,143.107143,0.528302,0.264151,0.519231,0.555556,0.611111,0.0,1,0,0,0,0.559513,False,55,-1.03371,5.67738,1.637959,27,-2.412238,-0.089342,0
원태인,2023-04-22,2023,삼성,SP,1,1,100,100,135.73,145.25641,0.39,0.25,0.46,0.730769,-0.153846,0.0,1,0,0,0,0.559513,False,39,-1.4875,5.72171,1.709037,26,1.642925,0.063189,0
원태인,2023-04-29,2023,삼성,SP,1,1,113,113,134.19469,141.53125,0.566372,0.238938,0.477876,0.53125,-0.857143,0.230088,1,0,0,2,0.559513,False,64,-1.26625,5.533065,1.721546,32,-1.916588,-0.059893,0
원태인,2023-05-10,2023,삼성,SP,1,1,94,94,132.148936,142.666667,0.446809,0.265957,0.43617,0.608696,-1.071429,0.0,1,0,0,0,0.559513,False,42,-1.24062,5.850585,1.321418,23,-0.357075,-0.015525,0
원태인,2023-05-16,2023,삼성,SP,1,1,96,96,135.020833,143.560976,0.427083,0.270833,0.4375,0.565217,0.153846,0.0,1,0,0,0,0.559513,False,41,-1.19758,5.50402,1.651063,23,-2.357075,-0.102482,0
원태인,2023-05-23,2023,삼성,SP,1,1,102,102,134.607843,144.236842,0.372549,0.245098,0.519608,0.769231,-0.666667,0.0,1,0,0,0,0.559513,False,38,-1.28332,5.610915,1.709152,26,3.706787,0.142569,0
원태인,2023-05-28,2023,삼성,SP,1,1,101,101,137.287129,143.528302,0.524752,0.237624,0.39604,0.545455,-0.529412,0.0,1,0,0,0,0.559513,False,53,-1.12839,5.66791,1.632044,22,-3.357075,-0.152594,0
원태인,2023-06-03,2023,삼성,SP,1,1,103,103,135.757282,143.531915,0.456311,0.223301,0.480392,0.565217,-0.533333,0.0,1,0,0,0,0.559513,False,47,-1.18913,5.80408,1.845737,23,-1.357075,-0.059003,0
원태인,2023-06-09,2023,삼성,SP,1,1,104,104,136.923077,142.308824,0.653846,0.25,0.528846,0.692308,-1.545455,0.0,1,0,0,0,0.559513,False,68,-1.222465,5.67345,2.353088,26,1.202437,0.046248,0
원태인,2023-06-21,2023,삼성,SP,1,1,103,103,134.203883,144.722222,0.349515,0.223301,0.553398,0.551724,2.25,0.23301,1,0,0,0,0.559513,False,36,-1.028465,5.660585,2.162377,29,-3.916588,-0.135055,0
원태인,2023-06-27,2023,삼성,SP,1,1,98,98,134.663265,143.285714,0.5,0.255102,0.459184,0.607143,-0.625,0.336735,1,0,0,0,0.559513,False,49,-1.44324,5.62166,2.335138,28,-2.476101,-0.088432,0
