Name,Team,Year,Date,Opp,Role,Dec,ERA,WHIP,IP,NP,R,ER,H,HR,SO,BB,HB,GS,Venue,Stadium,Time,Temp,연투 여부,휴식일 수,연투일,Height,Weight,BirthYear,투심_구사율,포심_구사율,커터_구사율,커브_구사율,슬라_구사율,첸접_구사율,싱커_구사율,포크_구사율,너클_구사율,기타_구사율,투심_피안타율,포심_피안타율,커터_피안타율,커브_피안타율,슬라_피안타율,첸접_피안타율,싱커_피안타율,포크_피안타율,너클_피안타율,기타_피안타율
김영우,LG,2025,2025-06-06,@ Kiwoom,RP,L,9.0,1.0,1.0,9,1,1,1,1,1,0,0,,Away,고척 스카이돔,18:30,25.5,False,4,1,185cm,90kg,2005,0.0,66.6,0.0,21.4,7.1,0.0,0.0,4.9,0.0,0.0,0.0,0.313,0.0,0.261,0.182,0.0,0.0,0.1,0.0,0.0
김영우,LG,2025,2025-06-08,@ Kiwoom,RP,,0.0,2.0,1.0,16,0,0,2,0,0,0,0,,Away,고척 스카이돔,14:00,25.5,False,1,1,185cm,90kg,2005,0.0,66.6,0.0,21.4,7.1,0.0,0.0,4.9,0.0,0.0,0.0,0.313,0.0,0.261,0.182,0.0,0.0,0.1,0.0,0.0
김영우,LG,2025,2025-06-11,vs. SSG,RP,,13.5,3.0,0.666666667,15,1,1,2,0,0,0,0,,Home,잠실 야구장,18:30,25.8,False,2,1,185cm,90kg,2005,0.0,66.6,0.0,21.4,7.1,0.0,0.0,4.9,0.0,0.0,0.0,0.313,0.0,0.261,0.182,0.0,0.0,0.1,0.0,0.0
김영우,LG,2025,2025-06-14,@ Hanwha,RP,,0.0,6.0,0.333333333,9,0,0,1,0,1,1,0,,Away,대전 한화생명 볼파크,17:00,29.9,False,2,1,185cm,90kg,2005,0.0,66.6,0.0,21.4,7.1,0.0,0.0,4.9,0.0,0.0,0.0,0.313,0.0,0.261,0.182,0.0,0.0,0.1,0.0,0.0
김영우,LG,2025,2025-06-15,@ Hanwha,RP,,0.0,2.0,1.0,12,0,0,1,0,0,1,0,,Away,대전 한화생명 볼파크,17:00,30.9,True,0,2,185cm,90kg,2005,0.0,66.6,0.0,21.4,7.1,0.0,0.0,4.9,0.0,0.0,0.0,0.313,0.0,0.261,0.182,0.0,0.0,0.1,0.0,0.0
김영우,LG,2025,2025-06-17,vs. NC,RP,,4.5,1.5,2.0,24,1,1,2,0,0,1,0,,Home,잠실 야구장,18:30,28.6,False,1,1,185cm,90kg,2005,0.0,66.6,0.0,21.4,7.1,0.0,0.0,4.9,0.0,0.0,0.0,0.313,0.0,0.261,0.182,0.0,0.0,0.1,0.0,0.0
김영우,LG,2025,2025-06-19,vs. NC,RP,,0.0,,0.0,10,0,0,1,0,0,1,0,,Home,잠실 야구장,18:30,30.9,False,1,1,185cm,90kg,2005,0.0,66.6,0.0,21.4,7.1,0.0,0.0,4.9,0.0,0.0,0.0,0.313,0.0,0.261,0.182,0.0,0.0,0.1,0.0,0.0
김영우,LG,2025,2025-06-21,vs. Doosan,RP,,0.0,0.0,1.0,14,0,0,0,0,1,0,0,,Home,잠실 야구장,17:00,25.6,False,1,1,185cm,90kg,2005,0.0,66.6,0.0,21.4,7.1,0.0,0.0,4.9,0.0,0.0,0.0,0.313,0.0,0.261,0.182,0.0,0.0,0.1,0.0,0.0
김영우,LG,2025,2025-06-24,@ KT,RP,,18.0,2.0,1.0,22,2,2,1,1,1,1,0,,Away,수원 KT 위즈파크,18:30,26.7,False,2,1,185cm,90kg,2005,0.0,66.6,0.0,21.4,7.1,0.0,0.0,4.9,0.0,0.0,0.0,0.313,0.0,0.261,0.182,0.0,0.0,0.1,0.0,0.0
김영우,LG,2025,2025-06-28,vs. Kia,RP,,0.0,1.0,2.0,17,0,0,1,0,2,1,0,,Home,잠실 야구장,17:00,29.9,False,3,1,185cm,90kg,2005,0.0,66.6,0.0,21.4,7.1,0.0,0.0,4.9,0.0,0.0,0.0,0.313,0.0,0.261,0.182,0.0,0.0,0.1,0.0,0.0
김영우,LG,2025,2025-06-29,vs. Kia,RP,,0.0,3.0,0.333333333,6,0,0,1,0,0,0,0,,Home,잠실 야구장,17:00,31.1,True,0,2,185cm,90kg,2005,0.0,66.6,0.0,21.4,7.1,0.0,0.0,4.9,0.0,0.0,0.0,0.313,0.0,0.261,0.182,0.0,0.0,0.1,0.0,0.0
김영우,LG,2025,2025-07-04,@ Samsung,RP,,0.0,3.0,1.0,27,1,0,1,0,1,2,0,,Away,대구 삼성 라이온즈 파크,18:30,30.0,False,4,1,185cm,90kg,2005,0.0,66.6,0.0,21.4,7.1,0.0,0.0,4.9,0.0,0.0,0.0,0.313,0.0,0.261,0.182,0.0,0.0,0.1,0.0,0.0
김원중,롯데,2025,2025-03-25,@ SSG,RP,,9.0,1.0,1.0,21,1,1,1,1,1,0,0,,Away,인천 SSG 랜더스필드,18:30,10.4,False,0,1,192cm,96kg,1993,0.0,42.0,0.0,1.2,6.0,0.0,0.0,50.4,0.0,0.0,0.0,0.214,0.0,1.0,0.0,0.0,0.0,0.176,0.0,0.0
김원중,롯데,2025,2025-03-29,vs. KT,RP,SV,0.0,1.0,1.0,19,0,0,0,0,1,1,0,,Home,사직 야구장,17:00,8.0,False,3,1,192cm,96kg,1993,0.0,42.0,0.0,1.2,6.0,0.0,0.0,50.4,0.0,0.0,0.0,0.214,0.0,1.0,0.0,0.0,0.0,0.176,0.0,0.0
김원중,롯데,2025,2025-03-30,vs. KT,RP,,0.0,3.0,1.666666667,37,1,0,1,0,2,4,0,,Home,사직 야구장,14:00,10.2,True,0,2,192cm,96kg,1993,0.0,42.0,0.0,1.2,6.0,0.0,0.0,50.4,0.0,0.0,0.0,0.214,0.0,1.0,0.0,0.0,0.0,0.176,0.0,0.0
김원중,롯데,2025,2025-04-02,@ Hanwha,RP,,0.0,1.0,1.0,20,0,0,1,0,0,0,0,,Away,대전 한화생명 볼파크,18:30,11.0,False,2,1,192cm,96kg,1993,0.0,42.0,0.0,1.2,6.0,0.0,0.0,50.4,0.0,0.0,0.0,0.214,0.0,1.0,0.0,0.0,0.0,0.176,0.0,0.0
김원중,롯데,2025,2025-04-03,@ Hanwha,RP,SV,0.0,3.0,1.0,20,0,0,1,0,1,2,0,,Away,대전 한화생명 볼파크,18:30,14.9,True,0,2,192cm,96kg,1993,0.0,42.0,0.0,1.2,6.0,0.0,0.0,50.4,0.0,0.0,0.0,0.214,0.0,1.0,0.0,0.0,0.0,0.176,0.0,0.0
김원중,롯데,2025,2025-04-10,vs. Kia,RP,SV,0.0,0.0,1.333333333,18,0,0,0,0,3,0,0,,Home,사직 야구장,18:30,14.9,False,6,1,192cm,96kg,1993,0.0,42.0,0.0,1.2,6.0,0.0,0.0,50.4,0.0,0.0,0.0,0.214,0.0,1.0,0.0,0.0,0.0,0.176,0.0,0.0
김원중,롯데,2025,2025-04-11,@ NC,RP,SV,0.0,1.0,1.0,18,0,0,1,0,1,0,0,,Away,창원 NC 파크,18:30,15.6,True,0,2,192cm,96kg,1993,0.0,42.0,0.0,1.2,6.0,0.0,0.0,50.4,0.0,0.0,0.0,0.214,0.0,1.0,0.0,0.0,0.0,0.176,0.0,0.0
김원중,롯데,2025,2025-04-15,vs. Kiwoom,RP,SV,0.0,0.0,1.0,13,0,0,0,0,1,0,0,,Home,사직 야구장,18:30,12.8,False,3,1,192cm,96kg,1993,0.0,42.0,0.0,1.2,6.0,0.0,0.0,50.4,0.0,0.0,0.0,0.214,0.0,1.0,0.0,0.0,0.0,0.176,0.0,0.0
김원중,롯데,2025,2025-04-16,vs. Kiwoom,RP,SV,0.0,0.0,1.333333333,13,0,0,0,0,1,0,0,,Home,사직 야구장,18:30,16.8,True,0,2,192cm,96kg,1993,0.0,42.0,0.0,1.2,6.0,0.0,0.0,50.4,0.0,0.0,0.0,0.214,0.0,1.0,0.0,0.0,0.0,0.176,0.0,0.0
