Name,Year,Team,Date,Opp,Role,Dec,ERA,WHIP,IP,NP,R,ER,H,HR,SO,BB,HB,GS,Venue,Stadium,Time,Temp,연투 여부,휴식일 수,연투일,2023WBC,2021올림픽,2023아시안게임,2023아시아프로야구챔피언십,2023 아시아 야구 선수권 대회,2019프리미어12,PS_KS,PS_PO,PS_SP,PS_V,PS_WC
김범수,2021,Hanwha,2021-05-21,vs. KT,RP,,0,9,0 ⅓,16,0,0,2,0,1,1,0,,Home,대전 한화생명 볼파크,18:30,16.2,FALSE,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-05-23,vs. KT,RP,,0,0,0 ⅔,9,0,0,0,0,0,0,0,,Home,대전 한화생명 볼파크,14:00,26.4,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-05-26,@ Doosan,SP,L,3,1.33,3,52,1,1,2,0,2,2,0,51,Away,잠실 야구장,18:30,20.7,FALSE,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-05-29,vs. SSG,RP,,18,3,1,27,2,2,2,0,0,1,0,,Home,대전 한화생명 볼파크,17:00,23.2,FALSE,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-06-01,vs. Kia,RP,W,5.4,3,1 ⅔,48,1,1,4,0,1,1,0,,Home,대전 한화생명 볼파크,18:30,26,FALSE,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-06-05,@ NC,RP,,0,1,1,11,0,0,1,0,0,0,0,,Away,창원 NC 파크,17:00,24.5,FALSE,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-06-10,vs. Kiwoom,RP,,0,1,1,12,0,0,0,0,0,1,0,,Home,대전 한화생명 볼파크,18:30,27.9,FALSE,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-06-12,@ KT,RP,,18,3,1,27,2,2,2,0,2,1,0,,Away,수원 KT 위즈파크,17:00,28.5,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-06-13,@ KT,RP,,0,1,1,22,0,0,0,0,1,1,0,,Away,수원 KT 위즈파크,17:00,27.4,TRUE,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-06-16,vs. Lotte,RP,,13.5,2.25,1 ⅓,20,2,2,2,0,2,1,0,,Home,대전 한화생명 볼파크,18:30,27.2,FALSE,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
