Name,Team,Year,Date,Opp,Role,Dec,ERA,WHIP,IP,NP,R,ER,H,HR,SO,BB,HB,GS,Venue,Stadium,Time,Temp
성영탁,Kia,2025,2025-06-07,vs. Hanwha,RP,,0.0,0.0,0 ⅓,2,0,0,0,0,0,0,0,,Home,광주 기아 챔피언스 필드,17:00,27.2
성영탁,Kia,2025,2025-06-04,@ Doosan,RP,H,0.0,0.0,1,7,0,0,0,0,0,0,0,,Away,잠실 야구장,18:30,22.5
성영탁,Kia,2025,2025-06-03,@ Doosan,RP,,0.0,0.0,1,15,0,0,0,0,1,0,0,,Away,잠실 야구장,18:30,22.8
성영탁,Kia,2025,2025-05-30,@ KT,RP,,0.0,0.5,2,23,0,0,0,0,1,1,0,,Away,수원 KT 위즈파크,18:30,24.2
성영탁,Kia,2025,2025-05-28,vs. Kiwoom,RP,,0.0,3.0,0 ⅓,8,0,0,1,0,0,0,0,,Home,광주 기아 챔피언스 필드,18:30,26.5
성영탁,Kia,2025,2025-05-24,@ Samsung,RP,,0.0,3.0,0 ⅔,11,0,0,1,0,0,1,0,,Away,대구 삼성 라이온즈 파크,17:00,14.5
성영탁,Kia,2025,2025-05-20,@ KT,RP,,0.0,1.0,2,31,0,0,1,0,0,1,0,,Away,수원 KT 위즈파크,18:30,25.6
배제성,KT,2025,2025-07-08,@ SSG,SP,,1.8,1.0,5,82,1,1,3,0,5,2,0,60.0,Away,인천 SSG 랜더스필드,18:30,34.9
배제성,KT,2025,2025-07-03,vs. Kiwoom,RP,,3.38,1.5,2 ⅔,58,1,1,4,0,3,0,0,,Home,수원 KT 위즈파크,18:30,30.9
배제성,KT,2025,2025-06-27,@ Lotte,RP,W,0.0,1.5,3 ⅓,49,0,0,3,0,3,2,0,,Away,사직 야구장,18:30,25.9
배제성,KT,2025,2025-06-19,@ Kia,SP,L,5.4,0.9,3 ⅓,52,2,2,2,1,4,1,0,51.0,Away,광주 기아 챔피언스 필드,18:30,29.3
주권,KT,2025,2025-07-06,@ Doosan,RP,L,27.0,4.0,1,19,4,3,4,1,0,0,0,,Away,잠실 야구장,17:00,32.5
주권,KT,2025,2025-07-05,@ Doosan,RP,,0.0,0.6,1 ⅔,15,0,0,1,0,1,0,0,,Away,잠실 야구장,18:00,31.6
주권,KT,2025,2025-07-01,vs. Kiwoom,RP,,0.0,1.5,1 ⅓,26,0,0,1,0,1,1,0,,Home,수원 KT 위즈파크,18:30,31.3
주권,KT,2025,2025-06-29,@ Lotte,RP,,9.0,3.0,1,22,1,1,2,0,0,1,0,,Away,사직 야구장,17:00,29.1
주권,KT,2025,2025-06-14,@ Samsung,RP,,0.0,0.75,1 ⅓,23,0,0,1,0,2,0,0,,Away,대구 삼성 라이온즈 파크,17:00,24.0
주권,KT,2025,2025-06-10,vs. Lotte,RP,,0.0,1.0,1,19,0,0,1,0,3,0,0,,Home,수원 KT 위즈파크,18:30,23.5
주권,KT,2025,2025-06-01,vs. Kia,RP,,27.0,9.0,0 ⅓,13,1,1,3,0,0,0,0,,Home,수원 KT 위즈파크,17:00,24.4
주권,KT,2025,2025-05-29,vs. Doosan,RP,,0.0,0.0,1,9,0,0,0,0,0,0,0,,Home,수원 KT 위즈파크,18:30,22.5
주권,KT,2025,2025-05-28,vs. Doosan,RP,,0.0,2.0,1,19,0,0,2,0,1,0,0,,Home,수원 KT 위즈파크,18:30,22.0
주권,KT,2025,2025-05-24,@ Kiwoom,RP,,0.0,3.0,1,21,0,0,2,0,1,1,0,,Away,고척 스카이돔,17:00,25.5
주권,KT,2025,2025-05-18,@ LG,RP,,0.0,1.0,1,8,0,0,0,0,0,1,0,,Away,잠실 야구장,14:00,20.1
